id,C/semester,total sessions,sess/popday,Number of Blocks,Block/pday,Avergae Block size,Norm Block,Early Sessions,Late/day,Combined Score,Rating,Score based Rating,Avg Break,Table,raw_score
42,0.2857142857142857,0.35294117647058826,0.2142857142857143,0.7142857142857143,0.6000000000000001,0.00833333339944448,0.0625,0.4,0.6250000000468751,1.0,1,1,0.4761904761904762,ISMS_24_2_100_2,-0.09586904768215176
43,0.7142857142857143,0.8235294117647058,0.7857142857142856,0.8571428571428571,0.8,0.32592592617827154,0.25,0.8,0.4999999998125,0.8056612158080223,0,1,0.2857142857142857,ISMS_24_2_200,-0.20512698418464148
44,0.8571428571428571,0.7647058823529411,0.7142857142857144,0.5714285714285714,0.3999999999999999,0.6000000000933334,0.25,0.2,0.5624999999296876,0.38512046670550926,1,0,0.2857142857142857,ISMS_24_2_300,-0.5228214285922724
45,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.4,0.374999999953125,0.7120422324456732,1,1,0.5714285714285714,ISMS_24_2_400_12,-0.3103928571492863
46,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.2,0.374999999953125,0.7193356643741338,1,1,0.5714285714285714,ISMS_24_2_400_23,-0.3003928571492863
47,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.0625,0.4,0.374999999953125,0.6833894641552924,1,1,0.8571428571428571,ISMS_24_2_400_31,-0.3389642857207149
48,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.42857142857142855,0.5,0.2222222221185186,0.0625,0.4,0.374999999953125,0.7758985784713607,1,1,0.7142857142857143,ISMS_24_2_400_321,-0.22101190467624504
49,0.7142857142857143,0.7058823529411765,0.6428571428571429,0.7142857142857143,0.6000000000000001,0.3583333333761111,0.25,0.8,0.74999999990625,0.560690432121621,0,0,0.4761904761904762,MSCM_21_1_100,-0.4446190475978392
50,0.7142857142857143,0.6470588235294118,0.5714285714285714,0.8571428571428571,0.8,0.17037037032197538,0.25,0.8,0.6250000000468751,0.7741457244574034,0,1,0.7857142857142857,MSCM_22_2_100,-0.2242936507880513
51,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.8571428571428571,0.8,0.32592592617827154,0.25,0.8,0.5624999999296876,0.7060277260282816,1,1,0.42857142857142855,MSCM_22_2_200,-0.2506626985289496
52,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.42857142857142855,0.5,0.2222222221185186,0.0625,0.0,0.374999999953125,0.8334645947638529,1,1,0.2857142857142857,MSCM_22_2_300,-0.1581547618191022
53,0.42857142857142855,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.75,0.20000000018666678,0.0625,0.0,0.374999999953125,0.9077574943786529,1,1,0.2857142857142857,MSCM_22_2_300_1,-0.05982142865999107
54,0.0,0.0,0.2142857142857143,0.0,0.0,0.5333333333644444,0.25,0.2,0.0,0.5871653856950371,1,0,0.0,MSCM_22_2_400,-0.40500000001866665
55,0.42857142857142855,0.35294117647058826,0.2142857142857143,0.42857142857142855,0.19999999999999996,0.3000000000466667,0.25,0.6,0.74999999990625,0.42239817795034296,0,0,1.0,MSCM_24_2_100,-0.6039999999811249
56,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.7142857142857143,0.6000000000000001,0.47500000003500004,0.25,1.0,0.5624999999296876,0.5203288454115339,1,0,0.38095238095238093,MSCM_24_2_200,-0.4213452380810818
57,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.2857142857142857,0.25,0.44000000003733325,0.25,0.6,0.374999999953125,0.5456204039219544,0,0,0.2857142857142857,MSCM_24_2_300,-0.46007142857039107
58,0.42857142857142855,0.4117647058823529,0.2857142857142858,0.42857142857142855,0.19999999999999996,0.37777777797481477,0.25,0.6,0.374999999953125,0.5980330078085534,0,0,0.2857142857142857,MSCM_24_2_300_1,-0.39173809533287984
59,0.0,0.0,0.2142857142857143,0.14285714285714285,0.3333333329999999,0.1833333333877778,0.0625,0.2,0.0,0.8932778868706274,1,1,0.2857142857142857,MSCM_24_2_400,-0.0673214286640953
